,노래제목,가수명
0,Golden,"
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters CastHUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast
"
1,FAMOUS,"
ALLDAY PROJECTALLDAY PROJECT
"
2,Dirty Work,"
aespaaespa
"
3,Soda Pop,"
KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL LeeKPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee
"
4,Drowning,"
WOODZWOODZ
"
5,시작의 아이,"
마크툽 (MAKTUB)마크툽 (MAKTUB)
"
6,뛰어(JUMP),"
BLACKPINKBLACKPINK
"
7,너에게 닿기를,"
10CM10CM
"
8,모르시나요(PROD.로코베리),"
조째즈조째즈
"
9,어제보다 슬픈 오늘,"
우디 (Woody)우디 (Woody)
"
10,Whiplash,"
aespaaespa
"
11,like JENNIE,"
제니 (JENNIE)제니 (JENNIE)
"
12,Never Ending Story,"
아이유아이유
"
13,"HOME SWEET HOME (feat. 태양, 대성)","
G-DRAGONG-DRAGON
"
14,WICKED,"
ALLDAY PROJECTALLDAY PROJECT
"
15,Your Idol,"
KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL LeeKPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee
"
16,청춘만화,"
이무진이무진
"
17,나는 반딧불,"
황가람황가람
"
18,TOO BAD (feat. Anderson .Paak),"
G-DRAGONG-DRAGON
"
19,HANDS UP,"
MEOVV (미야오)MEOVV (미야오)
"
20,눈물참기,"
QWERQWER
"
21,APT.,"
로제 (ROSÉ), Bruno Mars로제 (ROSÉ), Bruno Mars
"
22,HAPPY,"
DAY6 (데이식스)DAY6 (데이식스)
"
23,LIKE YOU BETTER,"
프로미스나인프로미스나인
"
24,오늘만 I LOVE YOU,"
BOYNEXTDOORBOYNEXTDOOR
"
25,REBEL HEART,"
IVE (아이브)IVE (아이브)
"
26,소나기,"
이클립스 (ECLIPSE)이클립스 (ECLIPSE)
"
27,한 페이지가 될 수 있게,"
DAY6 (데이식스)DAY6 (데이식스)
"
28,빌려온 고양이 (Do the Dance),"
아일릿(ILLIT)아일릿(ILLIT)
"
29,Flower,"
오반(OVAN)오반(OVAN)
"
30,천상연,"
이창섭이창섭
"
31,Supernova,"
aespaaespa
"
32,MY LOVE(2025),"
이예은, 아샤트리, 전건호이예은, 아샤트리, 전건호
"
33,내게 사랑이 뭐냐고 물어본다면,"
로이킴로이킴
"
34,Welcome to the Show,"
DAY6 (데이식스)DAY6 (데이식스)
"
35,toxic till the end,"
로제 (ROSÉ)로제 (ROSÉ)
"
36,예뻤어,"
DAY6 (데이식스)DAY6 (데이식스)
"
37,STYLE,"
Hearts2Hearts (하츠투하츠)Hearts2Hearts (하츠투하츠)
"
38,Die With A Smile,"
Lady Gaga, Bruno MarsLady Gaga, Bruno Mars
"
39,네모의 꿈,"
아이유아이유
"
