,뉴스제목,뉴스링크
0,AI로 진화하는 음식물처리기…시장 변화 본격화,https://zdnet.co.kr//view/?no=20250714095045
1,"빗썸, 신라면세점과 함께 '쇼핑지원금·비트코인 당첨' 이벤트 진행",https://zdnet.co.kr//view/?no=20250714111420
2,"식약처, 조리로봇 4종 식품용 기기 안전관리 인증",https://zdnet.co.kr//view/?no=20250714102157
3,"클럽806서울-스탠다드원, '시네마틱 재즈 인 썸머' 가든파티 열어",https://zdnet.co.kr//view/?no=20250714111145
4,"티씨케이, 와이엠씨·와이컴과 SiC링 특허소송 '종결' 상호 합의",https://zdnet.co.kr//view/?no=20250714090705
5,트림블이 제시한 철골 제작사 DX 전략은?,https://zdnet.co.kr//view/?no=20250714110839
6,"""갤럭시Z폴드7 더 얇아질 것…폼팩터 한계 돌파""",https://zdnet.co.kr//view/?no=20250713084902
7,"면세 쇼핑하고 '비트코인' 받자…신라면세점, 빗썸과 행사 진행",https://zdnet.co.kr//view/?no=20250714105808
8,"한미마이크로닉스, '위즈맥스 아트리안' 냉각 성능 개선",https://zdnet.co.kr//view/?no=20250714110554
9,"태양, 가장 가까이서 촬영…""태양풍 연구에 한 발짝 더"" [우주로 간다]",https://zdnet.co.kr//view/?no=20250714104654
10,"아마존, 캐나다 물류센터에서 노조 방해 인정받아",https://zdnet.co.kr//view/?no=20250714092011
11,"카카오모빌리티, 운전자 반응 학습하는 AI 내비 기술 개발",https://zdnet.co.kr//view/?no=20250714102803
12,"플리토, 음성 데이터 수집 고도화…""글로벌 AI 수요 대응""",https://zdnet.co.kr//view/?no=20250714110120
13,"CJ제일제당, 호주 울워스에 '비비고 K-치킨'  출시",https://zdnet.co.kr//view/?no=20250714105430
14,"젠지, T1 제압하고 'MSI' 2년 연속 우승 달성",https://zdnet.co.kr//view/?no=20250714110052
15,"차봇 상반기 인기 차종, 외산은 '벤츠 E200'·국산은 'GV70'",https://zdnet.co.kr//view/?no=20250714110025
16,"여한구 통상교섭본부장 ""미국 관세협상 지금부터 본 게임”",https://zdnet.co.kr//view/?no=20250714105748
17,"게임업계, 'IP 협업' 활발…팬덤 흡수·인기 장기화 '포석'",https://zdnet.co.kr//view/?no=20250714104954
18,"지지부진 정부 금융부처 조직개편, 한은 목소리 커질까",https://zdnet.co.kr//view/?no=20250714092000
19,일본 대신 CU로…홋카이도 수플레 푸딩 16만개 한정 출시,https://zdnet.co.kr//view/?no=20250714104225
20,"정구태 인피닛블록 대표 ""원화 스테이블코인, 디지털 시대 원화 지킬 방법""",https://zdnet.co.kr//view/?no=20250714093649
21,"메타보라, 라인넥스트와 디앱 포털 웹3 게임 유통 파트너십 체결",https://zdnet.co.kr//view/?no=20250714105320
22,"韓 정부, 소버린 AI 투자 규모 내년까지 올려…아태지역 2배",https://zdnet.co.kr//view/?no=20250714104939
23,"""외계인, 200광년 거리서도 지구 신호 감지…지구에 위협될 수도""",https://zdnet.co.kr//view/?no=20250714095013
24,"에어비앤비, 숙소에 '개인 셰프' 호출 기능 도입…호스트는 불만",https://zdnet.co.kr//view/?no=20250714103201
25,"위메이드, PC FPS '블랙 벌처스: 프레이 오브 그리드' 스팀 테스트 예고",https://zdnet.co.kr//view/?no=20250714103157
26,"서울경제진흥원, 'DMC 중소기업 지원시설' 입주사 상시 모집",https://zdnet.co.kr//view/?no=20250714104400
27,"유라클, 엔터프라이즈 특화 AI 에이전트 플랫폼 '아테나 SP1' 출시",https://zdnet.co.kr//view/?no=20250714104111
28,"""이번엔 xAI""…일론 머스크, 스페이스X 자금 또 끌어다 쓴다",https://zdnet.co.kr//view/?no=20250714084427
29,"캐논코리아, 임직원 헌혈 참가로 '공생' 가치 실현",https://zdnet.co.kr//view/?no=20250714103959
30,"번개장터, '케이팝 데몬헌터스' 글로벌 흥행에 K-굿즈 역직구↑",https://zdnet.co.kr//view/?no=20250714090804
31,배경훈 장관 후보자 인사청문 시작도 못하고 파행,https://zdnet.co.kr//view/?no=20250714103715
32,"SK브로드밴드 ""365일 설치 서비스 시행""",https://zdnet.co.kr//view/?no=20250714094546
33,"111퍼센트, '슈퍼패스트 배치' 2기 모집 설명회 마련",https://zdnet.co.kr//view/?no=20250714102702
34,"티맥스소프트, '애플리케이션 현대화 전략' 제시",https://zdnet.co.kr//view/?no=20250714102645
35,"""OT보안 중요성 커져···95%가 C레벨이 책임 """,https://zdnet.co.kr//view/?no=20250714102619
36,스트라타시스가 제시한 3D프린팅 산업 트렌드는?,https://zdnet.co.kr//view/?no=20250714102515
37,"해외로 가는 LG 스탠바이미 2, 이동식 스크린 시장 리더십 확장",https://zdnet.co.kr//view/?no=20250714090026
38,"""생산성 높인다더니 업무시간 더 늘었다""…AI 코딩 툴, 그래도 찾는 이유는?",https://zdnet.co.kr//view/?no=20250714101027
