,통화,교환비율,살때가격,팔때가격
0,미국 USD,"1,381.30","1,405.47","1,357.13"
1,유럽연합 EUR,"1,614.26","1,646.38","1,582.14"
2,일본 JPY (100엔),938.32,954.74,921.90
3,중국 CNY,192.69,202.32,183.06
4,홍콩 HKD,175.96,179.42,172.50
5,대만 TWD,47.09,53.25,42.39
6,영국 GBP,"1,862.41","1,899.09","1,825.73"
7,오만 OMR,"3,587.98","3,839.13","3,336.83"
8,캐나다 CAD,"1,009.54","1,029.42",989.66
9,스위스 CHF,"1,733.56","1,767.71","1,699.41"
10,스웨덴 SEK,143.77,148.51,135.58
11,호주 AUD,907.31,925.18,889.44
12,뉴질랜드 NZD,827.81,844.11,811.51
13,체코 CZK,65.43,70.99,59.55
14,칠레 CLP,1.44,1.58,1.30
15,튀르키예 TRY,34.35,N/A,N/A
16,몽골 MNT,0.39,N/A,N/A
17,이스라엘 ILS,410.98,452.07,378.11
18,덴마크 DKK,216.32,223.45,203.99
19,노르웨이 NOK,136.52,141.02,128.74
20,사우디아라비아 SAR,368.31,391.51,342.90
21,쿠웨이트 KWD,"4,522.18","4,816.12","4,160.41"
22,바레인 BHD,"3,664.12","3,898.62","3,371.00"
23,아랍에미리트 AED,376.07,396.75,350.13
24,요르단 JOD,"1,948.24","2,121.63","1,792.39"
25,이집트 EGP,27.92,N/A,N/A
26,태국 THB,42.64,44.77,40.09
27,싱가포르 SGD,"1,078.13","1,099.58","1,056.68"
28,말레이시아 MYR,324.63,348.65,300.61
29,인도네시아 IDR 100,8.52,9.37,7.67
30,카타르 QAR,379.00,N/A,N/A
31,카자흐스탄 KZT,2.64,N/A,N/A
32,브루나이 BND,"1,078.13","1,121.25","1,013.45"
33,인도 INR,16.06,N/A,N/A
34,파키스탄 PKR,4.85,N/A,N/A
35,방글라데시 BDT,11.42,N/A,N/A
36,필리핀 PHP,24.39,26.82,22.40
37,멕시코 MXN,73.92,81.68,66.16
38,브라질 BRL,248.35,273.68,223.52
39,베트남 VND 100,5.30,5.92,4.68
40,남아프리카 공화국 ZAR,77.31,83.49,71.13
41,러시아 RUB,17.64,19.31,14.56
42,헝가리 HUF,4.04,4.41,3.72
43,폴란드 PLN,378.92,409.23,348.61
44,스리랑카 LKR,4.59,N/A,N/A
45,알제리 DZD,10.64,N/A,N/A
46,케냐 KES,10.69,N/A,N/A
47,콜롬비아 COP,0.35,N/A,N/A
48,탄자니아 TZS,0.53,N/A,N/A
49,네팔 NPR,10.04,N/A,N/A
50,루마니아 RON,317.85,N/A,N/A
51,리비아 LYD,254.78,N/A,N/A
52,마카오 MOP,170.76,N/A,N/A
53,미얀마 MMK,0.66,N/A,N/A
54,에티오피아 ETB,9.91,N/A,N/A
55,우즈베키스탄 UZS,0.11,N/A,N/A
56,캄보디아 KHR,0.34,N/A,N/A
57,피지 FJD,615.30,N/A,N/A
