사용자,시간,댓글,좋아요,언어
user123,2일 전,이런 일이 또 생기면 안되는데... 강아지가 너무 불쌍해요,15,kr
dogLover88,2일 전,입마개를 왜 했을까요? 정말 이해가 안가네요,23,kr
travelFan,1일 전,여행 갈 때 반려동물을 데리고 가는 것도 신중해야 할듯,8,kr
animalRights,1일 전,동물 학대죄로 처벌받아야 합니다. 이건 명백한 학대,45,kr
sadOwner,3시간 전,견주로서 정말 마음이 아픕니다. 어떻게 저렇게 할 수 있나요,12,kr
flightExpert,5시간 전,항공사도 책임이 있어요. 더 엄격한 규정이 필요합니다,7,kr
heartbroken,1일 전,강아지가 얼마나 무서웠을까... 생각만 해도 눈물이 나네요,31,kr
angryNetizen,2일 전,이런 주인 때문에 다른 반려동물들까지 피해 보는거 아닌가요?,19,kr
vetStudent,6시간 전,수의학을 공부하는 학생으로서 이런 사건이 정말 화가 납니다,14,kr
concernedMom,4시간 전,우리 아이들에게 이런 일이 생기면... 생각만 해도 끔찍해요,9,kr
justiceSeeker,1일 전,법적 처벌이 필요합니다. 이건 살인이나 다름없어요,38,kr
petOwner2023,3시간 전,반려동물을 키우는 사람이라면 절대 이해할 수 없는 행동,16,kr
aviationWorker,5시간 전,항공업계에서 일하는데 이런 케이스는 정말 예외적입니다,6,kr
grievingHeart,2일 전,무지개다리 건너간 강아지를 위해 기도합니다,42,kr
responsibleOwner,6시간 전,반려동물을 키운다는 것은 책임감이 필요한 일인데...,11,kr
animalAdvocate,1일 전,동물보호법 강화가 시급합니다. 더이상 이런 일이 없어야 해요,28,kr
shockedViewer,4시간 전,뉴스 보고 정말 충격받았어요. 어떻게 이런 일이...,5,kr
petLover99,3시간 전,강아지도 가족인데 어떻게 저렇게 대할 수 있나요,20,kr
consciousOwner,2일 전,이런 일 때문에 모든 반려동물 주인이 욕먹는 것 같아서 화나네요,13,kr
heartAche,1일 전,그 작은 생명이 얼마나 고통스러웠을지... 정말 마음이 아파요,35,kr
airlineEmployee,7시간 전,항공사 직원입니다. 이런 케이스는 정말 드물고 안타깝습니다,4,kr
moralCitizen,5시간 전,도덕성이 없는 사람들 때문에 사회가 병들어가는 것 같아요,17,kr
dogParent,4시간 전,우리 강아지 보고 있으니까 더 화가 나네요. 어떻게 저럴 수 있어요,22,kr
ethicalPerson,6시간 전,동물도 생명인데 물건 취급하는 사람들이 있다니 정말 화가 나요,26,kr
sadWorld,3시간 전,이런 뉴스 볼 때마다 세상이 참 각박해졌다는 생각이 들어요,8,kr
sa26ansh,2개월 전,Cant imagine the fear they had gone through,38,en
billyxkid5062,2년 전,Bro that looks so scary,510,en
adityanayak872,2년 전,This is for security of passengers. What to do? Just take dogs on lap and expect neighbour passenger not to freak? Animals should be treated like animals,21,en
billyxkid5062,2년 전,Animals are not just animals they have feelings too and they can get scared this is literally why animals are better than people,112,en
adityanayak872,2년 전,animals are not just animals.. Yes floor is not just floor,18,en
findpurpose6300,2년 전,A lot of humans lack having humanity in them. You are obviously one of them. It's really sad being alive yet so dead inside and lacking any compassion. Like a robot.,70,en
findpurpose6300,2년 전,"Flying pets cargo is not acceptable. The airlines should come up with a better plan to fly with pets if it can't be avoided. They should offer private cabin for owner and pet transport so other people are not disturbt by cats, dogs or whatever pet people have.",35,en
adityaagnihotri5053,2년 전,You are the person why people hate humans so much,17,en
permabearxbt,2년 전,I know someone that worked at an airport and she said there are dogs landing everyday DEAD. do not put your dogs in one of these compartments!,219,en
Ausgar-yc1yl,1년 전,You have NO choice if they are a pet.,29,en
free23456,1년 전,"Sometimes you don't have a choice. I'm relocating next year, transferring my whole life to the UK and my cat is chunky so no airlines accepts him in cabin, I have to fly him in cargo",20,en
Penelopemee,1년 전,"please don't, find another way to to this this is so sad",17,en
WOLF91,1년 전,"Absolute garbage. We are talking about our most important friends, yet they're treated like cargo.",275,en
Ri-ver,2년 전,That husky was beyond stressed. Im training my dog as a service and emotional support animal so I can have her with me,211,en
CrazyManhog,1년 전,Man imagine all that pressure in pitch darkness,43,en
aimafa,1년 전,"I would never ever do this to my dog! This must be an absolute nightmare for them, beyond stressful and frightening! Imagine the stress just from take off and landing, the noise, possible turbulences, no space, nobody to comfort them, nowhere to do their business…worse when it is a long distance flight…Absolutely gruesome",64,en
carolinabottacin,1년 전,I wish I had another option… I moving to a different country and there is no other way to take my dogs with me. I'm freaking out right now,4,en
