단어,빈도
LG,125
전자,106
사업,99
Investor,95
Forum,95
서비스,62
플랫폼,45
성장,42
webOS,39
사업의,33
확대,30
글로벌,29
고객,28
파트너십,27
강화,27
매출,26
기반,24
TV,22
년간,19
역량과,17
쌓아온,17
구독,17
솔루션,17
냉각,16
기존,16
극대화,15
추진,14
중장기,13
컨텐츠,12
모수,12
제품,12
커버리지,11
그리고,11
자사,11
디바이스,11
th,11
Anniversary,11
데이터센터,11
Full,10
출시,10
AI,10
한국,10
위한,10
강점,10
1조,10
Potential,10
역량,10
모빌리티,10
시장,10
광고,10
커머셜,10
칠러,10
전략,9
고효율,9
무료,9
확보,9
비중,9
상업공간,9
가치,8
신규,8
기준,8
운영,8
채널,8
가전,8
LGE,8
스트리밍,7
생태계를,7
세탁기,7
인프라,7
북미,7
냉장고,7
해외,7
New,7
HVAC,7
스마트,7
맞춤형,7
CAGR,7
생산,7
고객의,6
개발,6
조원,6
가전구독,6
Air,6
판매,6
구매,6
경쟁력,6
파트너,6
CRAC,6
Know,6
예상,6
how,6
구성하는,6
분석,6
Servitization,6
엔진,5
근간이,5
억대,5
유럽,5
내재화,5
현지,5
데이터,5
모델,5
구축,5
증대,5
Electrification,5
미래,5
제공,5
Digitalization,5
확장,5
장비,5
기회,5
기지,5
핵심부품의,5
통한,5
연평균,5
이상,5
성장률,5
다양화,5
Ad,5
기반의,4
유니콘,4
외판,4
배터리,4
변화,4
교체,4
영역,4
대비,4
출처,4
산업,4
브랜드,4
중국,4
Service,4
완결형,4
저소음,4
인버터,4
압축기,4
고신뢰성,4
고난방,4
사업모델다양화,4
사업모수확대,4
VOD,4
생태계,4
핵심인,4
상용화,4
수익률,4
지속,4
Unicorn,4
인도,4
Smart,4
스마트홈,4
열교환기,4
케어를,4
블랙핀,4
케어,4
엔지니어링,4
발전소,4
공장,4
Data,4
전문,4
모든,4
변곡점,4
Management,3
100조,3
2억,3
맞춤,3
기업가치,3
Room,3
수주잔고,3
차별화,3
Price,3
EBITDA,3
EV,3
전담,3
향상,3
경험을,3
Seed,3
충전,3
국내,3
관리,3
보유,3
중동,3
대응,3
선택,3
베스트샵,3
선택한,3
접점,3
리니어,3
Maintenance,3
연결,3
어디서나,3
있다면,3
채널을,3
공급을,3
역내,3
최적,3
device,3
창원,3
시장의,3
경과,3
신사업,3
발굴,3
매출성장률,3
영업이익률,3
포트폴리오,3
성과,3
목표,3
전기차,3
Non,3
Value,3
Streaming,3
supported,3
기술,3
사업역량강화,3
Free,3
Cross,3
튀르키예,3
Heating,3
전문가의,3
팩토리,3
IVI,3
Conditioning,3
Ventilation,3
History,3
미국,3
Triple,2
로봇,2
억원,2
Customization,2
Caring,2
수주,2
Conditioner,2
FY,2
전자의,2
Computer,2
혁신,2
구조,2
Cooling,2
System,2
평균,2
고장,2
년내,2
공공,2
서버,2
설비,2
전력,2
순환,2
냉각탑,2
아시아,2
모습,2
액체,2
대상,2
영업이익,2
선포,2
시작,2
배당,2
수익,2
IoT,2
Key,2
사용하는,2
에어컨,2
TraQline,2
Customer,2
Omdia,2
공조,2
적극,2
함께,2
LLiiffee,2
CEO,2
후보군,2
전장,2
자동차,2
삶이,2
공간에서,2
Coverage,2
연결하고,2
조직,2
SSmmaarrtt,2
SSoolluuttiioonn,2
CCoommppaannyy,2
Sustainability,2
Connectivity,2
Company,2
Vision,2
Europe,2
Korea,2
없는,2
가치를,2
지역,2
개선,2
헌츠빌,2
사우디,2
라용,2
CTV,2
천진,2
게브제,2
India,2
Asia,2
노이다,2
태국,2
ADAS,2
Solution,2
Life,2
Platform,2
Commerce,2
America,2
년만에,2
사용성,2
기반이,2
모수의,2
게임,2
채널과,2
즐길,2
이상의,2
실리콘,2
최초,2
밸리의,2
회사로,2
점검,2
독자적인,2
주기,2
안정적,2
발전용,2
상업용,2
정책,2
규제,2
히트펌프,2
가장,2
무상,2
관계,2
측면에서의,2
영업,2
Global,2
Chain,2
Game,2
TVOD,2
구독은,2
세척,2
tech,2
제품군,2
상회하는,2
성장률을,2
돌파,2
IP,2
도약,2
연간,2
경험,2
captive,2
BMS,2
EMS,2
제외,2
구조적,2
Industrial,2
UPS,2
HW,2
Commercial,2
실적,2
일시불,2
상품,2
지속가능한,2
사업모델,2
규모,2
전환목표,2
CRM,2
CSP,2
EPC,2
미래비전,2
1천,2
VViissiioonn,1
BBrraavvee,1
OOppttiimmiisstt,1
사업영역,1
가상공간,1
Decision,1
CCTTOO,1
Liquid,1
Immersion,1
Chip,1
Rack,1
Row,1
Energy,1
Building,1
Supply,1
조조원원,1
매매출출,1
년년,1
전자가전,1
좋은,1
고객이,1
소모품,1
성능,1
변화로,1
행태의,1
사용,1
도약하는,1
지속적으로,1
최고의,1
넘어,1
여정에서,1
삶의,1
연계,1
축적된,1
상호작용으로,1
심화,1
증대로,1
재구매,1
선순환,1
이어지는,1
천만대,1
미래에,1
생활가전,1
주방가전,1
합계,1
프리미엄,1
부여,1
동기,1
구매할,1
많이,1
제품을,1
서이비터스,1
서비스컨텐츠데,1
사업으로의,1
엔터테인먼트,1
미디어,1
실현하는,1
매출액,1
가속,1
확대와,1
서비스로,1
최적화된,1
세탁조,1
필터,1
클리닝,1
외부,1
분해,1
중요하죠,1
필요해요,1
케어가,1
안받으면,1
가전도,1
서비스가,1
즐거운,1
맞춘,1
취향에,1
매력적인,1
파트너사에게,1
저격,1
취향,1
사용성기반데이터축적,1
경쟁력있는컨텐츠서비스제공,1
파트너친화적인플랫폼환경,1
친화형,1
가족,1
적합한,1
즐기기,1
에서,1
조성,1
파트너사들과,1
백만대,1
확대로,1
충성,1
구현으로,1
차별화된,1
아닌가요,1
손해,1
사람,1
쓰는,1
연결되는,1
인터넷이,1
플랫폼사업역량강화,1
다양화를,1
셀러의,1
하여,1
고도화,1
서비스를,1
결합을,1
소매와,1
유료로,1
컨텐츠를,1
최신,1
나아가,1
걸음,1
서비스에서,1
누리듯,1
성능도,1
보장된,1
좋아지고,1
연비도,1
걱정,1
가격보다는,1
제품은,1
관련된,1
물과,1
공기나,1
받아야,1
정비를,1
투자,1
중인,1
세계로,1
화석연료를,1
친환경,1
탈탄소,1
중심,1
시스템에어컨성장,1
칠러사업인수,1
현황,1
가정용,1
다각화,1
백억,1
달성,1
투자하여,1
조원을,1
년까지,1
깨끗한,1
정밀하고,1
손길,1
케어서비스가,1
찾아오는,1
되면,1
것이,1
날려버리게,1
활성화,1
접목,1
빅데이터,1
클라우드,1
오일,1
가스,1
보조금,1
화석연료,1
대체하는,1
전기로,1
증가,1
수요,1
제고,1
중요도,1
운영위한,1
후방,1
냉각솔루션,1
정기,1
자동차도,1
들어요,1
마음에,1
너무,1
생각해요,1
매력이라고,1
구독의,1
얻어요,1
청도,1
설치,1
스트레스를,1
이라는,1
위생,1
건강과,1
않아도,1
쓰지,1
신경,1
저는,1
하지만,1
물어보기도,1
케어와,1
정기적인,1
돈으로도,1
하냐고,1
애틀란타,1
연구소,1
하얼빈공대,1
오슬로대학,1
알래스카대학,1
적합형,1
컨소시엄,1
체제,1
스윙,1
마나우스,1
브라질,1
땅그랑,1
인도네시아,1
푸네,1
리야드,1
평택,1
소비,1
합리적인,1
해방,1
걱정에서,1
완벽한,1
가치가,1
지불,1
내내,1
경제적,1
유지보수,1
인력,1
도시,1
트레이닝센터,1
국가,1
벵갈루루,1
프랑크푸르트,1
주문,1
요구,1
다양한,1
현장별,1
필요한,1
역량이,1
소개,1
칠러란,1
역량에,1
필요,1
지역별,1
진출,1
법인,1
구독을,1
비싸게,1
주위에서,1
수배전,1
전력공급,1
전기,1
네트워크,1
솔루션을,1
프로젝트별,1
스토리지,1
구성요소,1
단지,1
종합,1
정부,1
화학,1
원자력,1
공항,1
화력,1
중요,1
공기,1
액침,1
서버실,1
효율,1
높음,1
낮음,1
집적도,1
방식,1
방재,1
보안,1
최소화,1
사용량,1
펌프,1
수배관,1
신뢰성,1
운영을,1
수행,1
집중,1
권역별,1
그그룹룹사사,1
기기술술원원,1
생생산산,1
액침냉각,1
칩냉각,1
진행,1
선정,1
우수,1
공학한림원,1
장영실상,1
에너지위너,1
공랭식,1
수랭식,1
서빙봇,1
하이드로타워,1
스텐바이미,1
노트북,1
광파오븐,1
프리미엄환기,1
건조기,1
정수기,1
공기청정기,1
전기레인지,1
스타일러,1
얼음정수기냉장고,1
시공사,1
운영사,1
컨설팅,1
오너,1
전환,1
칠칠러러,1
가가전전구구독독,1
기존사업,1
사업으로,1
조기에,1
칠러사업,1
금융,1
설계사,1
밀착,1
건설사,1
건축,1
통신,1
빅테크,1
소리,1
튀봇,1
패러다임,1
새로운,1
소유하고,1
가전을,1
렌탈,1
당기순이익의,1
성향,1
천원,1
최소,1
주당,1
금액,1
실시,1
반기배당,1
주주환원정책,1
전사,1
포트폴리오전환영역,1
전문가,1
디지털전환,1
발돋움,1
으로,1
단위,1
방향성,1
지향점,1
투자를,1
전략적,1
식기세척기,1
안마의자,1
워시타워,1
김치냉장고,1
청소기,1
워시콤보,1
제시,1
가파른,1
상반기,1
AVC,1
Circana,1
AHAM,1
com,1
Outperform,1
Drive,1
Gfk,1
TTrriippllee,1
기업,1
사업자와의,1
중아,1
데이터센터용,1
올해,1
인터뷰,1
창출되는,1
모수와,1
Drivers,1
Mobility,1
App,1
OS,1
Athom,1
Direct,1
Promo,1
GfK,1
트렌드,1
노하우,1
제조,1
수준,1
수천억,1
조직화,1
BSRIA,1
BRG,1
JRAIA,1
Arizton,1
Analysis,1
BCG,1
ACP,1
SDV,1
Robot,1
yrs,1
Wave,1
Big,1
확대되는,1
탑재,1
콘텐츠,1
차량에,1
Expansion,1
RRobots,1
DDefined,1
SSoftware,1
SDR,1
SW,1
Content,1
Automotive,1
Systems,1
Assistance,1
Driver,1
Advanced,1
Infotainment,1
Vehicle,1
In,1
MM,1
여개,1
인수를,1
수익성,1
높은,1
영역에서의서비스사업확대,1
급성장,1
플랫폼사업,1
직접판매,1
Healthcare,1
Home,1
Insight,1
DX,1
CX,1
Needs,1
Interaction,1
Retention,1
유통을,1
전사가전매출,1
주요,1
Database,1
Intelligence,1
Advertising,1
Connected,1
Southeast,1
USA,1
Care,1
No,1
평균치,1
연동,1
기기,1
운영체제,1
허브,1
Auto,1
Entertainment,1
wewbOeSbOS,1
Media,1
June,1
멕시코,1
북미기준,1
지위,1
경쟁,1
시장을,1
사업은,1
가전사업의성장,1
소비자에게,1
자체,1
않고,1
거치지,1
Belgium,1
Austria,1
Spain,1
Italy,1
North,1
France,1
Kingdom,1
United,1
FAST,1
ShopTime,1
ACR,1
BM,1
Signage,1
Digital,1
Projector,1
Monitor,1
