year,당기순이익,매출액,매출총이익,영업이익
2015,19060144000000,200653482000000,77171364000000,26413442000000
2016,22726092000000,201866745000000,81589030000000,29240672000000
2017,42186747000000,239575376000000,110284715000000,53645038000000
2018,44344857000000,243771415000000,111377004000000,58886669000000
2019,21738865000000,230400881000000,83161332000000,27768509000000
2020,26407832000000,236806988000000,92318692000000,35993876000000
2021,39907450000000,279604799000000,113193457000000,51633856000000
2022,55654077000000,302231360000000,112189590000000,43376630000000
2023,15487100000000,258935494000000,78546914000000,6566976000000
2024,34451351000000,300870903000000,114308635000000,32725961000000
