year,매출액,매출총이익,영업이익,당기순이익,매출총이익률,영업이익률,순이익률
2015,56509054,11205812,1983688,1240063,19.830117842708887,3.5103896802094763,2.1944501141356922
2016,55365742,11875634,1658307,118025,21.449426253512506,2.9951860845647116,0.21317333740420202
2017,61392687,13142547,2434978,1672072,21.4073493802283,3.966234610320933,2.723568688238063
2018,60781269,12478543,2619119,2719538,20.530244276406933,4.309089038598388,4.47430276587348
2019,62305763,13654321,2443755,568466,21.91502092671588,3.922197373620158,0.9123810906544874
2020,63265292,13876543,2608376,1509844,21.933895444598598,4.122917823567462,2.3865281456378957
2021,74569107,15234567,3508503,3017473,20.43013201163855,4.705035558492071,4.04654570960599
2022,80938438,16789012,3736003,3057275,20.74294045555957,4.615857548424644,3.777284409664541
2023,84274504,17234567,3644847,3349142,20.450511343264623,4.324969981431157,3.9740868721102176
2024,82001537,16876543,3251234,2987654,20.580764236163038,3.964845195523591,3.6434121960421306
